time,game_type,communicative_fraction_mean,order_parameter_mean,communicative_fraction_std,order_parameter_std
244000,allCommunicative,1.0,1.0,NaN,NaN
244800,allCommunicative,1.0,1.0,NaN,NaN
245600,allCommunicative,1.0,1.0,NaN,NaN
246400,allCommunicative,1.0,1.0,NaN,NaN
247200,allCommunicative,1.0,1.0,NaN,NaN
248000,allCommunicative,1.0,1.0,NaN,NaN
248800,allCommunicative,1.0,1.0,NaN,NaN
249600,allCommunicative,1.0,1.0,NaN,NaN
250400,allCommunicative,1.0,1.0,NaN,NaN
251200,allCommunicative,1.0,1.0,NaN,NaN
252000,allCommunicative,1.0,1.0,NaN,NaN
252800,allCommunicative,1.0,1.0,NaN,NaN
253600,allCommunicative,1.0,1.0,NaN,NaN
254400,allCommunicative,1.0,1.0,NaN,NaN
255200,allCommunicative,1.0,1.0,NaN,NaN
256000,allCommunicative,1.0,1.0,NaN,NaN
256800,allCommunicative,1.0,1.0,NaN,NaN
257600,allCommunicative,1.0,1.0,NaN,NaN
258400,allCommunicative,1.0,1.0,NaN,NaN
259200,allCommunicative,1.0,1.0,NaN,NaN
260000,allCommunicative,1.0,1.0,NaN,NaN
260800,allCommunicative,1.0,1.0,NaN,NaN
261600,allCommunicative,1.0,1.0,NaN,NaN
262400,allCommunicative,1.0,1.0,NaN,NaN
263200,allCommunicative,1.0,1.0,NaN,NaN
264000,allCommunicative,1.0,1.0,NaN,NaN
264800,allCommunicative,1.0,1.0,NaN,NaN
265600,allCommunicative,1.0,1.0,NaN,NaN
266400,allCommunicative,1.0,0.7,NaN,NaN
267200,allCommunicative,1.0,1.0,NaN,NaN
268000,allCommunicative,1.0,1.0,NaN,NaN
268800,allCommunicative,1.0,1.0,NaN,NaN
269600,allCommunicative,1.0,1.0,NaN,NaN
270400,allCommunicative,1.0,1.0,NaN,NaN
271200,allCommunicative,1.0,1.0,NaN,NaN
272000,allCommunicative,1.0,1.0,NaN,NaN
272800,allCommunicative,1.0,1.0,NaN,NaN
273600,allCommunicative,1.0,1.0,NaN,NaN
274400,allCommunicative,1.0,1.0,NaN,NaN
275200,allCommunicative,1.0,1.0,NaN,NaN
276000,allCommunicative,1.0,1.0,NaN,NaN
276800,allCommunicative,1.0,1.0,NaN,NaN
277600,allCommunicative,1.0,1.0,NaN,NaN
278400,allCommunicative,1.0,1.0,NaN,NaN
279200,allCommunicative,1.0,1.0,NaN,NaN
280000,allCommunicative,1.0,1.0,NaN,NaN
280800,allCommunicative,1.0,1.0,NaN,NaN
281600,allCommunicative,1.0,1.0,NaN,NaN
282400,allCommunicative,1.0,1.0,NaN,NaN
283200,allCommunicative,1.0,1.0,NaN,NaN
284000,allCommunicative,1.0,1.0,NaN,NaN
284800,allCommunicative,1.0,1.0,NaN,NaN
285600,allCommunicative,1.0,1.0,NaN,NaN
286400,allCommunicative,1.0,1.0,NaN,NaN
287200,allCommunicative,1.0,1.0,NaN,NaN
288000,allCommunicative,1.0,1.0,NaN,NaN
288800,allCommunicative,1.0,1.0,NaN,NaN
289600,allCommunicative,1.0,1.0,NaN,NaN
290400,allCommunicative,1.0,1.0,NaN,NaN
291200,allCommunicative,1.0,1.0,NaN,NaN
292000,allCommunicative,1.0,1.0,NaN,NaN
292800,allCommunicative,1.0,1.0,NaN,NaN
293600,allCommunicative,1.0,1.0,NaN,NaN
294400,allCommunicative,1.0,1.0,NaN,NaN
295200,allCommunicative,1.0,1.0,NaN,NaN
296000,allCommunicative,1.0,1.0,NaN,NaN
296800,allCommunicative,1.0,1.0,NaN,NaN
297600,allCommunicative,1.0,1.0,NaN,NaN
298400,allCommunicative,1.0,1.0,NaN,NaN
299200,allCommunicative,1.0,1.0,NaN,NaN
300000,allCommunicative,1.0,1.0,NaN,NaN
300800,allCommunicative,1.0,1.0,NaN,NaN
301600,allCommunicative,1.0,1.0,NaN,NaN
302400,allCommunicative,1.0,1.0,NaN,NaN
303200,allCommunicative,1.0,1.0,NaN,NaN
304000,allCommunicative,1.0,1.0,NaN,NaN
304800,allCommunicative,1.0,1.0,NaN,NaN
305600,allCommunicative,1.0,1.0,NaN,NaN
306400,allCommunicative,1.0,1.0,NaN,NaN
307200,allCommunicative,1.0,1.0,NaN,NaN
308000,allCommunicative,1.0,1.0,NaN,NaN
308800,allCommunicative,1.0,1.0,NaN,NaN
309600,allCommunicative,1.0,1.0,NaN,NaN
310400,allCommunicative,1.0,1.0,NaN,NaN
311200,allCommunicative,1.0,1.0,NaN,NaN
312000,allCommunicative,1.0,1.0,NaN,NaN
312800,allCommunicative,1.0,1.0,NaN,NaN
313600,allCommunicative,1.0,1.0,NaN,NaN
314400,allCommunicative,1.0,1.0,NaN,NaN
315200,allCommunicative,1.0,1.0,NaN,NaN
316000,allCommunicative,1.0,1.0,NaN,NaN
316800,allCommunicative,1.0,1.0,NaN,NaN
317600,allCommunicative,1.0,1.0,NaN,NaN
318400,allCommunicative,1.0,1.0,NaN,NaN
319200,allCommunicative,1.0,1.0,NaN,NaN
320000,allCommunicative,1.0,1.0,NaN,NaN
320800,allCommunicative,1.0,1.0,NaN,NaN
321600,allCommunicative,1.0,1.0,NaN,NaN
322400,staghunt,0.9,0.874286532558125,NaN,NaN
323200,allCommunicative,1.0,1.0,NaN,NaN
324000,allCommunicative,1.0,1.0,NaN,NaN
324800,allCommunicative,1.0,1.0,NaN,NaN
325600,allCommunicative,1.0,1.0,NaN,NaN
326400,allCommunicative,1.0,1.0,NaN,NaN
327200,allCommunicative,1.0,1.0,NaN,NaN
328000,allCommunicative,1.0,1.0,NaN,NaN
328800,allCommunicative,1.0,1.0,NaN,NaN
329600,allCommunicative,1.0,1.0,NaN,NaN
330400,allCommunicative,1.0,1.0,NaN,NaN
331200,allCommunicative,1.0,1.0,NaN,NaN
332000,allCommunicative,1.0,1.0,NaN,NaN
332800,allCommunicative,1.0,1.0,NaN,NaN
333600,allCommunicative,1.0,1.0,NaN,NaN
334400,allCommunicative,1.0,1.0,NaN,NaN
335200,allCommunicative,1.0,1.0,NaN,NaN
336000,allCommunicative,1.0,1.0,NaN,NaN
336800,allCommunicative,1.0,1.0,NaN,NaN
337600,allCommunicative,1.0,1.0,NaN,NaN
338400,allCommunicative,1.0,1.0,NaN,NaN
339200,allCommunicative,1.0,1.0,NaN,NaN
340000,allCommunicative,1.0,1.0,NaN,NaN
340800,allCommunicative,1.0,1.0,NaN,NaN
341600,allCommunicative,1.0,1.0,NaN,NaN
342400,allCommunicative,1.0,1.0,NaN,NaN
343200,allCommunicative,1.0,1.0,NaN,NaN
344000,allCommunicative,1.0,1.0,NaN,NaN
344800,allCommunicative,1.0,1.0,NaN,NaN
345600,allCommunicative,1.0,1.0,NaN,NaN
346400,allCommunicative,1.0,1.0,NaN,NaN
347200,allCommunicative,1.0,1.0,NaN,NaN
348000,allCommunicative,1.0,1.0,NaN,NaN
348800,allCommunicative,1.0,1.0,NaN,NaN
349600,allCommunicative,1.0,1.0,NaN,NaN
350400,allCommunicative,1.0,1.0,NaN,NaN
351200,allCommunicative,1.0,1.0,NaN,NaN
352000,allCommunicative,1.0,1.0,NaN,NaN
352800,allCommunicative,1.0,1.0,NaN,NaN
353600,allCommunicative,1.0,1.0,NaN,NaN
