time,game_type,communicative_fraction,communicative_fraction_std,order_parameter,order_parameter_std
371200,all_noncommunicative,0.0,0.0,1.0,0.0
372000,all_noncommunicative,0.0,0.0,1.0,0.0
372800,all_noncommunicative,0.0,0.0,1.0,0.0
373600,all_noncommunicative,0.0,0.0,1.0,0.0
374400,all_noncommunicative,0.0,0.0,1.0,0.0
375200,all_noncommunicative,0.0,0.0,1.0,0.0
376000,all_noncommunicative,0.0,0.0,1.0,0.0
376800,all_noncommunicative,0.0,0.0,1.0,0.0
377600,all_noncommunicative,0.0,0.0,1.0,0.0
378400,all_noncommunicative,0.0,0.0,1.0,0.0
379200,all_noncommunicative,0.0,0.0,1.0,0.0
380000,all_noncommunicative,0.0,0.0,1.0,0.0
380800,all_noncommunicative,0.0,0.0,1.0,0.0
381600,all_noncommunicative,0.0,0.0,1.0,0.0
382400,all_noncommunicative,0.0,0.0,1.0,0.0
383200,all_noncommunicative,0.0,0.0,1.0,0.0
384000,all_noncommunicative,0.0,0.0,1.0,0.0
384800,all_noncommunicative,0.0,0.0,1.0,0.0
385600,all_noncommunicative,0.0,0.0,1.0,0.0
386400,all_noncommunicative,0.0,0.0,1.0,0.0
